Holding,Symbol,Weighting
Apple Inc.,AAPL,10.59%
Microsoft Corporation,MSFT,9.64%
"Amazon.com, Inc.",AMZN,5.69%
NVIDIA Corporation,NVDA,4.31%
Meta Platforms Inc. Class A,META,3.7%
"Tesla, Inc.",TSLA,3.35%
Alphabet Inc. Class A,GOOGL,3.14%
Alphabet Inc. Class C,GOOG,3.13%
Broadcom Inc.,AVGO,2.98%
Adobe Incorporated,ADBE,2.08%
Costco Wholesale Corporation,COST,2.06%
"PepsiCo, Inc.",PEP,2.05%
"Cisco Systems, Inc.",CSCO,1.89%
Comcast Corporation Class A,CMCSA,1.57%
"Netflix, Inc.",NFLX,1.46%
"Advanced Micro Devices, Inc.",AMD,1.41%
"T-Mobile US, Inc.",TMUS,1.41%
Intel Corporation,INTC,1.32%
Intuit Inc.,INTU,1.26%
Texas Instruments Incorporated,TXN,1.24%
Amgen Inc.,AMGN,1.15%
Honeywell International Inc.,HON,1.06%
QUALCOMM Incorporated,QCOM,1.04%
"Applied Materials, Inc.",AMAT,1.0%
Booking Holdings Inc.,BKNG,0.97%
Starbucks Corporation,SBUX,0.91%
"Intuitive Surgical, Inc.",ISRG,0.87%
"Automatic Data Processing, Inc.",ADP,0.84%
"Mondelez International, Inc. Class A",MDLZ,0.81%
"Gilead Sciences, Inc.",GILD,0.79%
"Analog Devices, Inc.",ADI,0.74%
Vertex Pharmaceuticals Incorporated,VRTX,0.74%
"Regeneron Pharmaceuticals, Inc.",REGN,0.74%
Lam Research Corporation,LRCX,0.72%
"Micron Technology, Inc.",MU,0.65%
"Palo Alto Networks, Inc.",PANW,0.62%
"PayPal Holdings, Inc.",PYPL,0.59%
"Synopsys, Inc.",SNPS,0.58%
"MercadoLibre, Inc.",MELI,0.57%
"Charter Communications, Inc. Class A",CHTR,0.56%
KLA Corporation,KLAC,0.54%
"Cadence Design Systems, Inc.",CDNS,0.54%
CSX Corporation,CSX,0.52%
"Marriott International, Inc. Class A",MAR,0.51%
PDD Holdings Inc. Sponsored ADR Class A,PDD,0.5%
"Airbnb, Inc. Class A",ABNB,0.49%
Monster Beverage Corporation,MNST,0.49%
"O\'Reilly Automotive, Inc.",ORLY,0.47%
ASML Holding NV ADR,ASML,0.45%
Cintas Corporation,CTAS,0.44%
NXP Semiconductors NV,NXPI,0.43%
"Fortinet, Inc.",FTNT,0.41%
"Workday, Inc. Class A",WDAY,0.41%
Keurig Dr Pepper Inc.,KDP,0.39%
"Marvell Technology, Inc.",MRVL,0.39%
Lululemon Athletica Inc,LULU,0.39%
"Autodesk, Inc.",ADSK,0.38%
PACCAR Inc,PCAR,0.37%
"Old Dominion Freight Line, Inc.",ODFL,0.37%
Microchip Technology Incorporated,MCHP,0.36%
"Copart, Inc.",CPRT,0.35%
"Paychex, Inc.",PAYX,0.35%
"Moderna, Inc.",MRNA,0.35%
"American Electric Power Company, Inc.",AEP,0.34%
ON Semiconductor Corporation,ON,0.34%
Exelon Corporation,EXC,0.34%
Kraft Heinz Company,KHC,0.34%
Astrazeneca PLC Sponsored ADR,AZN,0.33%
"Ross Stores, Inc.",ROST,0.33%
"DexCom, Inc.",DXCM,0.32%
"Seagen, Inc.",SGEN,0.32%
"IDEXX Laboratories, Inc.",IDXX,0.32%
"Trade Desk, Inc. Class A",TTD,0.31%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.31%
Biogen Inc.,BIIB,0.3%
Verisk Analytics Inc,VRSK,0.3%
Baker Hughes Company Class A,BKR,0.3%
Cognizant Technology Solutions Corporation Class A,CTSH,0.3%
Constellation Energy Corporation,CEG,0.3%
Electronic Arts Inc.,EA,0.28%
"CoStar Group, Inc.",CSGP,0.27%
GlobalFoundries Inc.,GFS,0.27%
Xcel Energy Inc.,XEL,0.27%
Atlassian Corp Class A,TEAM,0.26%
Fastenal Company,FAST,0.26%
GE Healthcare Technologies Inc.,GEHC,0.25%
Datadog Inc Class A,DDOG,0.24%
"Warner Bros. Discovery, Inc. Series A",WBD,0.23%
"ANSYS, Inc.",ANSS,0.23%
"Diamondback Energy, Inc.",FANG,0.23%
"Align Technology, Inc.",ALGN,0.21%
"Dollar Tree, Inc.",DLTR,0.21%
"Illumina, Inc.",ILMN,0.2%
"Zscaler, Inc.",ZS,0.19%
eBay Inc.,EBAY,0.19%
U.S. Dollar,Other,0.16%
"Walgreens Boots Alliance, Inc.",WBA,0.16%
"Zoom Video Communications, Inc. Class A",ZM,0.15%
"Sirius XM Holdings, Inc.",SIRI,0.14%
"Enphase Energy, Inc.",ENPH,0.14%
"JD.com, Inc. Sponsored ADR Class A",JD,0.12%
"Lucid Group, Inc.",LCID,0.11%
